,C.,País,Mundial,Mundial Sub-20,Mundial Sub-17,Confederaciones,JJ. OO.[n 1],JJ. OO. de la Juventud,Total,Nota
0,CSF, Brasil,5,5,4,4,2,-,20,[n 2]
1,EUR, Alemania[n 3],4,1,1,1,-,-,7,[n 4]
2,EUR, Italia,4,-,-,-,1,-,5,[n 5]
3,CSF, Argentina,3,6,-,1,2,-,12,[n 6]
4,EUR, Francia,2,1,1,2,1,-,7,[n 7]
5,CSF, Uruguay,2,1,-,-,2,-,5,[n 8]
6,EUR, Inglaterra,1,1,1,-,2,-,5,[n 9]
7,EUR, España,1,1,-,-,1,-,3,[n 10]
8,EUR, Serbia[n 11],-,2,-,-,1,-,3,[n 12]
9,EUR, Portugal,-,2,-,-,-,-,2,[n 13]
10,CAF, Ghana,-,1,2,-,-,-,3,[n 14]
11,EUR, Rusia[n 15],-,1,1,-,2,-,4,[n 16]
12,EUR, Ucrania,-,1,-,-,-,-,1,[n 17]
13,CAF, Nigeria,-,-,5 ,-,1,-,6,[n 18]
14,NCC, México,-,-,2,1,1,-,4,[n 19]
15,AFC, Arabia Saudita,-,-,1,-,-,-,1,[n 20]
16,EUR, Suiza,-,-,1,-,-,-,1,[n 21]
17,EUR, Dinamarca,-,-,-,1,-,-,1,[n 22]
18,EUR, Hungría,-,-,-,-,3,-,3,[n 23]
19,EUR, Bélgica,-,-,-,-,1,-,1,[n 24]
20,EUR, Suecia,-,-,-,-,1,-,1,[n 25]
21,EUR, Polonia,-,-,-,-,1,-,1,[n 26]
22,EUR, Alemania Oriental[n 3],-,-,-,-,1,-,1,[n 27]
23,EUR, República Checa[n 28],-,-,-,-,1,-,1,[n 29]
24,CAF, Camerún,-,-,-,-,1,-,1,[n 30]
25,CSF, Bolivia,-,-,-,-,-,1,1,[n 31]
26,CSF, Perú,-,-,-,-,-,1,1,[n 32]
